프로골퍼	프로/NNG + 골퍼/NNG

몸무게를	몸무게/NNG + 를/JKO
합치면	합치/VV + 면/EC
320kg나	320/SN + kg/SL + 나/JX
되는	되/VV + 는/ETM
두	두/MM
거구는	거구/NNG + 는/JX
힘겨루기를	힘겨루기/NNG + 를/JKO
하느라	하/VV + 느라/EC
기술을	기술/NNG + 을/JKO
제대로	제대로/MAG
쓰지	쓰/VV + 지/EC
못했다.	못하/VX + 았/EP + 다/EF + ./SF

다섯	다섯/NR
판	팔/VV + ㄴ/ETM
중	중/NNB
첫	첫/MM
두	두/MM
판은	판/NNG + 은/JX
제한시간이	제한/NNG + 시간/NNG + 이/JKS
지나	지나/VV + 아/EC
무승부.	무/XPN + 승부/NNG + ./SF

관중석에서	관중석/NNG + 에서/JKB
야유가	야유/NNG + 가/JKS
터져	터지/VV + 어/EC
나온	나오/VV + ㄴ/ETM
뒤	뒤/NNG
시작된	시작/NNG + 되/XSV + ㄴ/ETM
세	세/MM
번째	번/NNB + 째/XSN
판에서는	판/NNG + 에서/JKB + 는/JX
김영현이	김영현/NNP + 이/JKS
선제공격을	선제공격/NNG + 을/JKO
시도,	시도/NNG + ,/SP
밀어치기로	밀/VV + 어/EC + 치/VV + 기/ETN + 로/JKB
최홍만을	최홍만/NNP + 을/JKO
넘어뜨렸다.	넘어뜨리/VV + 었/EP + 다/EF + ./SF

1-0.	1/SN + -/SS + 0/SN + ./SF

한	한/MM
번	번/NNB
만	만/NR
더	더/MAG
이기면	이기/VV + 면/EC
통산	통산/NNG
세	세/MM
번째	번/NNB + 째/XSN
천하장사	천하장사/NNG
타이틀을	타이틀/NNG + 을/JKO
차지하는	차지/NNG + 하/XSV + 는/ETM
김영현은	김영현/NNP + 은/JX
네	네/MM
번째	번/NNB + 째/XSN
판에서	판/NNG + 에서/JKB
적극	적극/NNG
공격을	공격/NNG + 을/JKO
펼쳤지만,	펼치/VV + 었/EP + 지만/EC + ,/SP
번번이	번번이/MAG
장외가	장외/NNG + 가/JKS
선언됐다.	선언/NNG + 되/XSV + 었/EP + 다/EF + ./SF

1분30초를	1/SN + 분/NNB + 30/SN + 초/NNB + 를/JKO
남기고	남기/VV + 고/EC
덧걸이	덧걸이/NNG
공격으로	공격/NNG + 으로/JKB
최홍만을	최홍만/NNP + 을/JKO
쓰러뜨렸으나	쓰러뜨리/VV + 었/EP + 으나/EC
발이	발/NNG + 이/JKS
경기장	경기장/NNG
밖으로	밖/NNG + 으로/JKB
나갔다는	나가/VV + 았/EP + 다는/ETM
이유로	이유/NNG + 로/JKB
무효가	무효/NNG + 가/JKS
선언됐다.	선언/NNG + 되/XSV + 었/EP + 다/EF + ./SF

위기를	위기/NNG + 를/JKO
넘긴	넘기/VV + ㄴ/ETM
최홍만은	최홍만/NNP + 은/JX
계속된	계속/NNG + 되/XSV + ㄴ/ETM
경기에서	경기/NNG + 에서/JKB
밀어치기를	밀/VV + 어/EC + 치/VV + 기/ETN + 를/JKO
시도하는	시도/NNG + 하/XSV + 는/ETM
김영현을	김영현/NNP + 을/JKO
잡채기로	잡채기/NNG + 로/JKB
주저앉혔다.	주저앉히/VV + 었/EP + 다/EF + ./SF

1-1로	1/SN + -/SS + 1/SN + 로/JKB
승부는	승부/NNG + 는/JX
원점.	원점/NNG + ./SF

최홍만은	최홍만/NNP + 은/JX
마지막	마지막/NNG
다섯	다섯/NR
번째	번/NNB + 째/XSN
판에서	판/NNG + 에서/JKB
주의와	주의/NNG + 와/JC
경고를	경고/NNG + 를/JKO
차례로	차례/NNG + 로/JKB
받아	받/VV + 아/EC
초조해진	초조/NNG + 하/XSA + 아/EC + 지/VX + ㄴ/ETM
김영현을	김영현/NNP + 을/JKO
밀어치기로	밀/VV + 어/EC + 치/VV + 기/ETN + 로/JKB
눕혔다.	눕히/VV + 었/EP + 다/EF + ./SF

머리를	머리/NNG + 를/JKO
노랗게	노랗/VA + 게/EC
물들인	물들이/VV + ㄴ/ETM
최홍만은	최홍만/NNP + 은/JX
160kg의	160/SN + kg/SL + 의/JKG
거구를	거구/NNG + 를/JKO
흔들며	흔들/VV + 며/EC
첫	첫/MM
천하장사	천하장사/NNG
타이틀을	타이틀/NNG + 을/JKO
자축했다.	자축/NNG + 하/XSV + 았/EP + 다/EF + ./SF

최홍만은	최홍만/NNP + 은/JX
8강전에서	8/SN + 강전/NNG + 에서/JKB
유일한	유일/NNG + 하/XSA + ㄴ/ETM
금강급	금강/NNP + 급/NNG
선수인	선수/NNG + 이/VCP + ㄴ/ETM
이성원(LG)을	이성원/NNP + (/SS + LG/SL + )/SS + 을/JKO
가볍게	가볍/VA + 게/EC
눌렀고,	누르/VV + 었/EP + 고/EC + ,/SP
4강전에서도	4/SN + 강/NNG + 전/NNG + 에서/JKB + 도/JX
같은	같/VA + 은/ETM
팀	팀/NNG
선수	선수/NNG
김경수를	김경수/NNP + 를/JKO
2대0으로	2/SN + 대/NNB + 0/SN + 으로/JKB
물리쳤다.	물리치/VV + 었/EP + 다/EF + ./SF

반면	반면/NNG
김영현은	김영현/NNP + 은/JX
준결승전에서	준/XPN + 결승전/NNG + 에서/JKB
이태현에게	이태현/NNP + 에게/JKB
2대1로	2/SN + 대/NNB + 1/SN + 로/JKB
힘겹게	힘겹/VA + 게/EC
승리하면서	승리/NNG + 하/XSV + 면서/EC
체력을	체력/NNG + 을/JKO
많이	많이/MAG
썼다.	쓰/VV + 었/EP + 다/EF + ./SF

제주	제주/NNP
출신으로	출신/NNG + 으로/JKB
중학교	중학교/NNG
3학년	3/SN + 학년/NNG
때	때/NNG
씨름을	씨름/NNG + 을/JKO
시작한	시작/NNG + 하/XSV + ㄴ/ETM
최홍만은	최홍만/NNP + 은/JX
올	올/MM
초	초/NNB
계약금	계약금/NNG
5억원,	5/SN + 억/NR + 원/NNB + ,/SP
연봉	연봉/NNG
4000만원의	4000/SN + 만/NR + 원/NNB + 의/JKG
파격적인	파격/NNG + 적/XSN + 이/VCP + ㄴ/ETM
조건으로	조건/NNG + 으로/JKB
프로에	프로/NNG + 에/JKB
데뷔,	데뷔/NNG + ,/SP
지난	지나/VV + ㄴ/ETM
4월	4/SN + 월/NNB
진안장사	진안/NNP + 장사/NNG
백두급에서	백두/NNG + 급/NNG + 에서/JKB
우승했다.	우승/NNG + 하/XSV + 았/EP + 다/EF + ./SF

이번	이번/NNG
대회	대회/NNG
우승으로	우승/NNG + 으로/JKB
단숨에	단숨에/MAG
올시즌	올/MM + 시즌/NNG
최고	최고/NNG
상금(1억2000만원)을	상금/NNG + (/SS + 1/SN + 억/NR + 2000/SN + 만/NR + 원/NNB + )/SS + 을/JKO
번	벌/VV + ㄴ/ETM
선수가	선수/NNG + 가/JKC
됐다.	되/VV + 었/EP + 다/EC

최홍만은	최홍만/NNP + 은/JX
"내년엔	"/SS + 내년/NNG + 에/JKB + ㄴ/JX
키	키/NNG
큰	크/VA + ㄴ/ETM
선수도	선수/NNG + 도/JX
기술씨름을	기술/NNG + 씨름/NNG + 을/JKO
할	하/VV + ㄹ/ETM
수	수/NNB
있다는	있/VV + 다는/ETM
것을	것/NNB + 을/JKO
보여주겠다"고	보/VV + 아/EC + 주/VX + 겠/EP + 다/EF + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

전날	전날/NNG
열린	열리/VV + ㄴ/ETM
금강·한라	금강/NNP + ·/SP + 한라/NNG
통합장사	통합/NNG + 장사/NNG
결승전에서는	결승전/NNG + 에서/JKB + 는/JX
조범재(신창건설)가	조범재/NNP + (/SS + 신창건설/NNP + )/SS + 가/JKS
김용대(현대중공업)를	김용대/NNP + (/SS + 현대중공업/NNP + )/SS + 를/JKO
3대2로	3/SN + 대/NNB + 2/SN + 로/JKB
꺾고	꺾/VV + 고/EC
우승	우승/NNG
상금	상금/NNG
3000만원을	3000/SN + 만/NR + 원/NNB + 을/JKO
받았다.	받/VV + 았/EP + 다/EF + ./SF

최경주가	최경주/NNP + 가/JKS
세계	세계/NNG
최강	최강/NNG
16명이	16/SN + 명/NNB + 이/JKS
출전한	출전/NNG + 하/XSV + ㄴ/ETM
타깃	타깃/NNG
월드챌린지	월드/NNG + 챌린지/NNG
대회(총상금	대회/NNG + (/SS + 총/MM + 상금/NNG
500만달러)에서	500/SN + 만/NR + 달러/NNB + )/SS + 에서/JKB
단독	단독/NNG
2위로	2/SN + 위/NNB + 로/JKB
뛰어올랐다.	뛰어오르/VV + 았/EP + 다/EF + ./SF

데이비스	데이비스/NNP
러브3세(미국)는	러브/NNP + 3/SN + 세/NNB + (/SS + 미국/NNP + )/SS + 는/JX
하루에만	하루/NNG + 에/JKB + 만/JX
9타를	9/SN + 타/NNG + 를/JKO
줄이며	줄이/VV + 며/EC
선두에	선두/NNG + 에/JKB
복귀했다.	복귀/NNG + 하/XSV + 았/EP + 다/EF + ./SF

러브3세는	러브/NNP + 3/SN + 세/NNB + 는/JX
14일(한국시각)	14/SN + 일/NNB + (/SS + 한국/NNP + 시각/NNG + )/SS
미국	미국/NNP
캘리포니아주	캘리포니아주/NNP
사우전드오크스의	사우전드오크스/NNP + 의/JKG
셔우드골프장(파72·7025야드)에서	셔우드/NNP + 골프장/NNG + (/SS + 파/NNG + 72/SN + ·/SP + 7025/SN + 야드/NNG + )/SS + 에서/JKB
열린	열리/VV + ㄴ/ETM
대회	대회/NNG
3라운드에서	3/SN + 라운드/NNG + 에서/JKB
버디	버디/NNG
10개,	10/SN + 개/NNB + ,/SP
보기	보기/NNG
1개로	1/SN + 개/NNB + 로/JKB
9언더파	9/SN + 언더/NNG + 파/NNG
63타의	63/SN + 타/NNG + 의/JKG
맹타를	맹타/NNG + 를/JKO
휘둘렀다.	휘두르/VV + 었/EP + 다/EF + ./SF

러브3세는	러브/NNP + 3/SN + 세/NNB + 는/JX
중간합계	중간/NNG + 합계/NNG
11언더파	11/SN + 언더/NNG + 파/NNG
205타로	205/SN + 타/NNG + 로/JKB
2위	2/SN + 위/NNB
최경주에	최경주/NNP + 에/JKB
3타를	3/SN + 타/NNG + 를/JKO
앞서,	앞서/VV + 어/EC + ,/SP
지난	지나/VV + ㄴ/ETM
2000년에	2000/SN + 년/NNB + 에/JKB
이어	잇/VV + 어/EC
이	이/MM
대회	대회/NNG
두	두/MM
번째	번/NNB + 째/XSN
우승을	우승/NNG + 을/JKO
노리게	노리/VV + 게/EC
됐다.	되/VV + 었/EP + 다/EC

이글	이글/NNG
1개,	1/SN + 개/NNB + ,/SP
버디	버디/NNG
8개,	8/SN + 개/NNB + ,/SP
보기	보기/NNG
3개로	3/SN + 개/NNB + 로/JKB
65타(중간합계	65/SN + 타/NNG + (/SS + 중간/NNG + 합계/NNG
8언더파	8/SN + 언더/NNG + 파/NNG
208타)를	208/SN + 타/NNG + )/SS + 를/JKO
친	치/VV + ㄴ/ETM
최경주는	최경주/NNP + 는/JX
이날	이날/NNG
초반부터	초반/NNG + 부터/JX
공격적인	공격/NNG + 적/XSN + 이/VCP + ㄴ/ETM
플레이를	플레이/NNG + 를/JKO
펼쳐	펼치/VV + 어/EC
한때	한때/NNG
선두로	선두/NNG + 로/JKB
나서는	나서/VV + 는/ETM
등	등/NNB
쾌조의	쾌조/NNG + 의/JKG
컨디션을	컨디션/NNG + 을/JKO
과시했다.	과시/NNG + 하/XSV + 았/EP + 다/EF + ./SF

3번홀까지	3/SN + 번/NNB + 홀/NNG + 까지/JX
잇달아	잇달/VV + 아/EC
버디를	버디/NNG + 를/JKO
잡아내면서	잡아내/VV + 면서/EC
단숨에	단숨에/MAG
3타를	3/SN + 타/NNG + 를/JKO
줄인	줄이/VV + ㄴ/ETM
최경주는	최경주/NNP + 는/JX
5번홀(파5)에서	5/SN + 번/NNB + 홀/NNG + (/SS + 파/NNG + 5/SN + )/SS + 에서/JKB
회심의	회심/NNG + 의/JKG
이글을	이글/NNG + 을/JKO
뽑아내	뽑아내/VV + 어/EC
초반	초반/NNG
5개홀에서	5/SN + 개/NNB + 홀/NNG + 에서/JKB
5타를	5/SN + 타/NNG + 를/JKO
줄였다.	줄이/VV + 었/EP + 다/EF + ./SF

단숨에	단숨에/MAG
선두권으로	선두/NNG + 권/XSN + 으로/JKB
치고	치/VV + 고/EC
올라간	올라가/VV + ㄴ/ETM
최경주는	최경주/NNP + 는/JX
6,	6/SN + ,/SP
7번홀에서	7/SN + 번/NNB + 홀/NNG + 에서/JKB
2타를	2/SN + 타/NNG + 를/JKO
잃었지만	잃/VV + 었/EP + 지만/EC
9~11번홀에서	9/SN + ~/SO + 11/SN + 번/NNB + 홀/NNG + 에서/JKB
다시	다시/MAG
한	한/MM
번	번/NNB
3개홀	3/SN + 개/NNB + 홀/NNG
연속	연속/NNG
버디를	버디/NNG + 를/JKO
엮어냈다.	엮/VV + 어/EC + 내/VX + 었/EP + 다/EF + ./SF

12번홀(파3)에서는	12/SN + 번/NNB + 홀/NNG + (/SS + 파/NNG + 3/SN + )/SS + 에서/JKB + 는/JX
보기를	보/VV + 기/ETN + 를/JKO
기록했지만	기록/NNG + 하/XSV + 았/EP + 지만/EC
파	파/NNG
5홀인	5/SN + 홀/NNG + 이/VCP + ㄴ/ETM
13번과	13/SN + 번/NNB + 과/JC
16번홀에서	16/SN + 번/NNB + 홀/NNG + 에서/JKB
가볍게	가볍/VA + 게/EC
버디를	버디/NNG + 를/JKO
보태	보태/VV + 어/EC
4라운드를	4/SN + 라운드/NNG + 를/JKO
기약했다.	기약/NNG + 하/XSV + 았/EP + 다/EF + ./SF

대회	대회/NNG
주최자이자	주최자/NNG + 이/VCP + 자/EC
2001년	2001/SN + 년/NNB
대회	대회/NNG
우승자인	우승자/NNG + 이/VCP + ㄴ/ETM
타이거	타이거/NNP
우즈는	우즈/NNP + 는/JX
샷이	샷/NNG + 이/JKS
좌우로	좌우/NNG + 로/JKB
흔들리면서	흔들리/VV + 면서/EC
이븐파	이븐/NNG + 파/NNG
72타,	72/SN + 타/NNG + ,/SP
합계	합계/NNG
2언더파	2/SN + 언더/NNG + 파/NNG
214타로	214/SN + 타/NNG + 로/JKB
선두에	선두/NNG + 에/JKB
9타	9/SN + 타/NNG
뒤져	뒤지/VV + 어/EC
우승이	우승/NNG + 이/JKS
힘들어졌다.	힘들/VA + 어/EC + 지/VX + 었/EP + 다/EF + ./SF

전날	전날/NNG
1타차	1/SN + 타/NNG + 차/NNG
선두를	선두/NNG + 를/JKO
달리던	달리/VV + 던/ETM
작년	작년/NNG
우승자	우승자/NNG
파드레그	파드레그/NNP
해링턴은	해링턴/NNP + 은/JX
2타를	2/SN + 타/NNG + 를/JKO
줄였으나	줄이/VV + 었/EP + 으나/EC
러브3세와	러브/NNP + 3/SN + 세/NNB + 와/JC
최경주에게	최경주/NNP + 에게/JKB
밀려	밀리/VV + 어/EC
중간합계	중간/NNG + 합계/NNG
5언더파	5/SN + 언더/NNG + 파/NNG
211타로	211/SN + 타/NNG + 로/JKB
3위로	3/SN + 위/NNB + 로/JKB
처졌다.	처지/VV + 었/EP + 다/EF + ./SF

올해	올해/NNG
브리티시오픈	브리티시/NNP + 오픈/NNG
챔피언	챔피언/NNG
벤	벤/NNP
커티스(미국)와	커티스/NNP + (/SS + 미국/NNP + )/SS + 와/JC
대런	대런/NNP
클라크(북아일랜드)가	클라크/NNP + (/SS + 북아일랜드/NNP + )/SS + 가/JKS
중간합계	중간/NNG + 합계/NNG
8오버파	8/SN + 오버/NNG + 파/NNG
224타로	224/SN + 타/NNG + 로/JKB
나란히	나란히/MAG
꼴찌를	꼴찌/NNG + 를/JKO
달리고	달리/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

창원	창원/NNP
LG가	LG/SL + 가/JKS
단독	단독/NNG
선두를	선두/NNG + 를/JKO
달리던	달리/VV + 던/ETM
TG삼보에	TG/SL + 삼보/NNP + 에/JKB
일격을	일격/NNG + 을/JKO
가하며	가하/VV + 며/EC
5연승을	5/SN + 연승/NNG + 을/JKO
질주했다.	질주/NNG + 하/XSV + 았/EP + 다/EF + ./SF

TG삼보는	TG/SL + 삼보/NNP + 는/JX
이날	이날/NNG
1승씩을	1/SN + 승/NNG + 씩/XSN + 을/JKO
추가한	추가/NNG + 하/XSV + ㄴ/ETM
오리온스와	오리온스/NNP + 와/JC
KCC에	KCC/SL + 에/JKB
공동	공동/NNG
선두를	선두/NNG + 를/JKO
허용했다.	허용/NNG + 하/XSV + 았/EP + 다/EF + ./SF

14일	14/SN + 일/NNB
원주에서	원주/NNP + 에서/JKB
열린	열리/VV + ㄴ/ETM
애니콜	애니콜/NNG
프로농구	프로/NNG + 농구/NNG
TG-LG전에서	TG/SL + -/SS + LG/SL + 전/NNG + 에서/JKB
LG의	LG/SL + 의/JKG
'찰떡	'/SS + 찰떡/NNG
콤비'	콤비/NNG + '/SS
빅터	빅터/NNP
토마스(22점	토마스/NNP + (/SS + 22/SN + 점/NNB
13리바운드	13/SN + 리바운드/NNG
5어시스트)와	5/SN + 어시스트/NNG + )/SS + 와/JC
라이언	라이언/NNP
페리맨(17점	페리맨/NNP + (/SS + 17/SN + 점/NNB
16리바운드	16/SN + 리바운드/NNG
2어시스트)이	2/SN + 어시스트/NNG + )/SS + 이/JKS
74대68의	74/SN + 대/NNB + 68/SN + 의/JKG
짜릿한	짜릿/XR + 하/XSA + ㄴ/ETM
역전승을	역전승/NNG + 을/JKO
엮어냈다.	엮/VV + 어/EC + 내/VX + 었/EP + 다/EF + ./SF

올	올/MM
시즌	시즌/NNG
두	두/MM
번	번/NNB
맞대결에서	맞대결/NNG + 에서/JKB
모두	모두/MAG
졌던	지/VV + 었/EP + 던/ETM
LG는	LG/SL + 는/JX
적지에서	적지/NNG + 에서/JKB
승리하며	승리/NNG + 하/XSV + 며/EC
'TG	'/SS + TG/SL
징크스'를	징크스/NNG + '/SS + 를/JKO
깼다.	깨/VV + 었/EP + 다/EF + ./SF

반면	반면/NNG
TG는	TG/SL + 는/JX
전날	전날/NNG
서울	서울/NNP
삼성에	삼성/NNP + 에/JKB
진	지/VV + ㄴ/ETM
데	데/NNB
이어	잇/VV + 어/EC
이날	이날/NNG
역전패로	역전패/NNG + 로/JKB
단독	단독/NNG
선두	선두/NNG
행진을	행진/NNG + 을/JKO
28일	28/SN + 일/NNB
만에	만/NNB + 에/JKB
끝냈다.	끝내/VV + 었/EP + 다/EF + ./SF

LG는	LG/SL + 는/JX
강동희·김영만을	강동희/NNP + ·/SP + 김영만/NNP + 을/JKO
앞세운	앞세우/VV + ㄴ/ETM
노련미를	노련미/NNG + 를/JKO
카드로	카드/NNG + 로/JKB
들고	들/VV + 고/EC
나왔고,	나오/VV + 았/EP + 고/EC + ,/SP
쫓기는	쫓기/VV + 는/ETM
입장인	입장/NNG + 이/VCP + ㄴ/ETM
TG는	TG/SL + 는/JX
신기성(21점	신기성/NNP + (/SS + 21/SN + 점/NNB
4리바운드	4/SN + 리바운드/NNG
9어시스트)을	9/SN + 어시스트/NNG + )/SS + 을/JKO
내세운	내세우/VV + ㄴ/ETM
스피드로	스피드/NNG + 로/JKB
'맞불'을	'/SS + 맞불/NNG + '/SS + 을/JKO
놓았다.	놓/VV + 았/EP + 다/EF + ./SF

경기	경기/NNG
시작과	시작/NNG + 과/JKB
함께	함께/MAG
앤트완	앤트완/NNP
홀(3점	홀/NNP + (/SS + 3/SN + 점/NNB
1리바운드)의	1/SN + 리바운드/NNG + )/SS + 의/JKG
덩크슛으로	덩크/NNG + 슛/NNG + 으로/JKB
기선을	기선/NNG + 을/JKO
제압한	제압/NNG + 하/XSV + ㄴ/ETM
TG는	TG/SL + 는/JX
전반	전반/NNG
점수차를	점수/NNG + 차/NNG + 를/JKO
43-28까지	43/SN + -/SS + 28/SN + 까지/JX
벌렸다.	벌리/VV + 었/EP + 다/EF + ./SF

그러나	그러나/MAJ
LG는	LG/SL + 는/JX
3쿼터	3/SN + 쿼터/NNG
이후	이후/NNG
토마스와	토마스/NNP + 와/JC
페리맨	페리맨/NNP
두	두/MM
선수의	선수/NNG + 의/JKG
집중력으로	집중력/NNG + 으로/JKB
대역전	대/XPN + 역전/NNG
드라마를	드라마/NNG + 를/JKO
만들었다.	만들/VV + 었/EP + 다/EF + ./SF

배길태와	배길태/NNP + 와/JC
박규현은	박규현/NNP + 은/JX
찰거머리	찰거머리/NNG
수비로	수비/NNG + 로/JKB
TG의	TG/SL + 의/JKG
공격	공격/NNG
흐름을	흐름/NNG + 을/JKO
끊은	끊/VV + 은/ETM
'숨은	'/SS + 숨/VV + 은/ETM
공신'이었다.	공신/NNG + '/SS + 이/VCP + 었/EP + 다/EF + ./SF

대구	대구/NNP
오리온스는	오리온스/NNP + 는/JX
잠실에서	잠실/NNP + 에서/JKB
박지현(18점	박지현/NNP + (/SS + 18/SN + 점/NNB
5리바운드	5/SN + 리바운드/NNG
8어시스트)과	8/SN + 어시스트/NNG + )/SS + 과/JC
김승현(14점	김승현/NNP + (/SS + 14/SN + 점/NNB
3리바운드	3/SN + 리바운드/NNG
13어시스트)	13/SN + 어시스트/NNG + )/SS
등의	등/NNB + 의/JKG
고른	고르/VA + ㄴ/ETM
활약에	활약/NNG + 에/JKB
힘입어	힘입/VV + 어/EC
서울	서울/NNP
SK를	SK/SL + 를/JKO
112대89로	112/SN + 대/NNB + 89/SN + 로/JKB
꺾고	꺾/VV + 고/EC
공동	공동/NNG
선두로	선두/NNG + 로/JKB
올라섰다.	올라서/VV + 었/EP + 다/EF + ./SF

전주	전주/NNP
KCC도	KCC/SL + 도/JX
부산	부산/NNP
원정경기에서	원정/NNG + 경기/NNG + 에서/JKB
부산	부산/NNP
KTF를	KTF/SL + 를/JKO
97대77로	97/SN + 대/NNB + 77/SN + 로/JKB
꺾고	꺾/VV + 고/EC
파죽의	파죽/NNG + 의/JKG
6연승과	6/SN + 연승/NNG + 과/JKB
함께	함께/MAG
공동	공동/NNG
선두	선두/NNG
등극의	등극/NNG + 의/JKG
기쁨을	기쁨/NNG + 을/JKO
맛봤다.	맛보/VV + 았/EP + 다/EF + ./SF

서울	서울/NNP
삼성은	삼성/NNP + 은/JX
안양	안양/NNP
SBS를	SBS/SL + 를/JKO
89대77로	89/SN + 대/NNB + 77/SN + 로/JKB
꺾었고,	꺾/VV + 었/EP + 고/EC + ,/SP
인천	인천/NNP
전자랜드는	전자랜드/NNP + 는/JX
부천에서	부천/NNP + 에서/JKB
문경은(27점·3점슛	문경은/NNP + (/SS + 27/SN + 점/NNB + ·/SP + 3/SN + 점/NNB + 슛/NNG
5개)을	5/SN + 개/NNB + )/SS + 을/JKO
앞세워	앞세우/VV + 어/EC
울산	울산/NNP
모비스를	모비스/NNP + 를/JKO
83대78로	83/SN + 대/NNB + 78/SN + 로/JKB
꺾고	꺾/VV + 고/EC
3연패	3/SN + 연패/NNG
사슬을	사슬/NNG + 을/JKO
끊었다.	끊/VV + 었/EP + 다/EF + ./SF

모비스는	모비스/NNP + 는/JX
5연패의	5/SN + 연패/NNG + 의/JKG
늪에	늪/NNG + 에/JKB
빠졌다.	빠지/VV + 었/EP + 다/EF + ./SF

<표>◇중간순위	</SS + 표/NNG + >/SS + ◇/SW + 중간/NNG + 순위/NNG
(14일	(/SS + 14/SN + 일/NNB
현재)	현재/NNG + )/SS

한국	한국/NNP
남자	남자/NNG
탁구의	탁구/NNG + 의/JKG
희망	희망/NNG
유승민(삼성카드·세계	유승민/NNP + (/SS + 삼성카드/NNP + ·/SP + 세계/NNG
12위)이	12/SN + 위/NNB + )/SS + 이/JKS
최고권위의	최고/NNG + 권위/NNG + 의/JKG
그랜드	그랜드/NNG
파이널스	파이널스/NNG
대회에서	대회/NNG + 에서/JKB
4강까지	4/SN + 강/NNG + 까지/JX
진출하는	진출/NNG + 하/XSV + 는/ETM
파란을	파란/NNG + 을/JKO
일으켰으나	일으키/VV + 었/EP + 으나/EC
결승진출에	결승/NNG + 진출/NNG + 에/JKB
실패했다.	실패/NNG + 하/XSV + 았/EP + 다/EF + ./SF

유승민은	유승민/NNP + 은/JX
14일	14/SN + 일/NNB
오후	오후/NNG
중국	중국/NNP
광저우에서	광저우/NNP + 에서/JKB
열린	열리/VV + ㄴ/ETM
대회	대회/NNG
준결승에서	준/XPN + 결승/NNG + 에서/JKB
중국의	중국/NNP + 의/JKG
하오쉐이(18위)와	하오쉐이/NNP + (/SS + 18/SN + 위/NNB + )/SS + 와/JKB
맞붙어	맞붙/VV + 어/EC
분전했으나	분전/NNG + 하/XSV + 았/EP + 으나/EC
1대4로	1/SN + 대/NNB + 4/SN + 로/JKB
패해	패/NNG + 하/XSV + 아/EC
결승	결승/NNG
진출의	진출/NNG + 의/JKG
꿈을	꿈/NNG + 을/JKO
접었다.	접/VV + 었/EP + 다/EF + ./SF

이	이/MM
대회는	대회/NNG + 는/JX
지난	지나/VV + ㄴ/ETM
1년간의	1/SN + 년/NNB + 간/NNG + 의/JKG
프로대회	프로/NNG + 대회/NNG
성적을	성적/NNG + 을/JKO
종합,	종합/NNG + ,/SP
최고의	최고/NNG + 의/JKG
성적을	성적/NNG + 을/JKO
올린	올리/VV + ㄴ/ETM
남녀	남녀/NNG
각각	각각/MAG
16명의	16/SN + 명/NNB + 의/JKG
선수만이	선수/NNG + 만/JX + 이/JKS
초청받아	초청/NNG + 받/VV + 아/EC
출전하는	출전/NNG + 하/XSV + 는/ETM
'왕중왕전'으로	'/SS + 왕중왕전/NNG + '/SS + 으로/JKB
국제탁구연맹	국제탁구연맹/NNP
프로투어	프로/NNG + 투어/NNG
중	중/NNB
최고	최고/NNG
권위를	권위/NNG + 를/JKO
자랑한다.	자랑/NNG + 하/XSV + ㄴ다/EF + ./SF

유승민은	유승민/NNP + 은/JX
1회전(16강전)에서	1/SN + 회전/NNB + (/SS + 16/SN + 강/NNG + 전/NNG + )/SS + 에서/JKB
전	전/MM
세계챔피언인	세계/NNG + 챔피언/NNG + 이/VCP + ㄴ/ETM
왕리킨(중국·2위)을	왕리킨/NNP + (/SS + 중국/NNP + ·/SP + 2/SN + 위/NNB + )/SS + 을/JKO
물리쳤고	물리치/VV + 었/EP + 고/EC
8강전에서는	8/SN + 강전/NNG + 에서/JKB + 는/JX
류궈정(중국·8위)을	류궈정/NNP + (/SS + 중국/NNP + ·/SP + 8/SN + 위/NNB + )/SS + 을/JKO
4대1로	4/SN + 대/NNB + 1/SN + 로/JKB
격파하는	격파/NNG + 하/XSV + 는/ETM
등	등/NNB
중국의	중국/NNP + 의/JKG
강호들을	강호/NNG + 들/XSN + 을/JKO
잇달아	잇달/VV + 아/EC
제압했지만	제압/NNG + 하/XSV + 았/EP + 지만/EC
준결승의	준/XPN + 결승/NNG + 의/JKG
벽을	벽/NNG + 을/JKO
넘어서지	넘어서/VV + 지/EC
못했다.	못하/VX + 았/EP + 다/EF + ./SF

유승민은	유승민/NNP + 은/JX
경기	경기/NNG
후	후/NNG
"며칠	"/SS + 며칠/NNG
전부터	전/NNG + 부터/JX
뒤꿈치에	뒤꿈치/NNG + 에/JKB
통증이	통증/NNG + 이/JKS
왔는데	오/VV + 았/EP + 는데/EC
대회가	대회/NNG + 가/JKS
진행되면서	진행/NNG + 되/XSV + 면서/EC
점점	점점/MAG
악화됐다"며	악화/NNG + 되/XSV + 었/EP + 다/EF + "/SS + 며/EC
"오늘은	"/SS + 오늘/NNG + 은/JX
중요한	중요/NNG + 하/XSA + ㄴ/ETM
준결승이	준/XPN + 결승/NNG + 이/JKS
있는	있/VV + 는/ETM
날인데	날/NNG + 이/VCP + ㄴ데/EC
컨디션이	컨디션/NNG + 이/JKS
좋지	좋/VA + 지/EC
않았다"고	않/VX + 았/EP + 다/EC + "/SS + 고/JKQ
