러시아의	러시아/NNP + 의/JKG
가슴이	가슴/NNG + 이/JKS
답답하고,	답답/XR + 하/XSA + 고/EC + ,/SP
매스껍고,	매스껍/VA + 고/EC + ,/SP
쉬	쉬/MAG
피로해지는	피로/NNG + 하/XSA + 아/EC + 지/VX + 는/ETM
증상을	증상/NNG + 을/JKO
느낀다.	느끼/VV + ㄴ다/EF + ./SF

그러나,	그러나/MAJ + ,/SP
밖으로	밖/NNG + 으로/JKB
나오면	나오/VV + 면/EC
이런	이런/MM
증상이	증상/NNG + 이/JKS
사라진다.	사라지/VV + ㄴ다/EF + ./SF

'창문이	'/SS + 창문/NNG + 이/JKS
거의	거의/MAG
닫혀	닫히/VV + 어/EC
있고	있/VX + 고/EC
중앙	중앙/NNG
집중식	집중식/NNG
냉·난방을	냉/NNG + ·/SP + 난방/NNG + 을/JKO
하는	하/VV + 는/ETM
건물이나	건물/NNG + 이나/JC
아파트에	아파트/NNG + 에/JKB
장시간	장시간/NNG
있을	있/VV + 을/ETM
때	때/NNG
나타나는	나타나/VV + 는/ETM
'밀폐	'/SS + 밀폐/NNG
건물	건물/NNG
증후군'이	증후군/NNG + '/SS + 이/JKS
최근	최근/NNG
한국에서도	한국/NNP + 에서/JKB + 도/JX
심각한	심각/XR + 하/XSA + ㄴ/ETM
상태인	상태/NNG + 이/VCP + ㄴ/ETM
것으로	것/NNB + 으로/JKB
나타났다.	나타나/VV + 았/EP + 다/EF + ./SF

한양대	한양대/NNP
의대	의대/NNG
김윤신	김윤신/NNP
교수(환경	교수/NNG + (/SS + 환경/NNG
및	및/MAG
산업의학	산업/NNG + 의학/NNG
연구소장)팀이	연구소장/NNG + )/SS + 팀/NNG + 이/JKS
지난	지나/VV + ㄴ/ETM
6	6/SN
~	~/SO
8월	8/SN + 월/NNB
서울	서울/NNP
시내	시내/NNG
사무용	사무/NNG + 용/XSN
건물	건물/NNG
근무자	근무자/NNG
4백	4/SN + 백/NR
60여	60/SN + 여/XSN
명을	명/NNB + 을/JKO
대상으로	대상/NNG + 으로/JKB
건강	건강/NNG
증상에	증상/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
설문	설문/NNG
조사를	조사/NNG + 를/JKO
실시한	실시/NNG + 하/XSV + ㄴ/ETM
결과	결과/NNG
응답자의	응답자/NNG + 의/JKG
91.6%가	91/SN + ./SP + 6/SN + %/SW + 가/JKS
피로감,	피로감/NNG + ,/SP
80.9%가	80/SN + ./SP + 9/SN + %/SW + 가/JKS
두통을	두통/NNG + 을/JKO
경험한다고	경험/NNG + 하/XSV + ㄴ다고/EC
호소했다.	호소/NNG + 하/XSV + 았/EP + 다/EF + ./SF

또	또/MAG
눈의	눈/NNG + 의/JKG
충혈에는	충혈/NNG + 에/JKB + 는/JX
68.9%,	68/SN + ./SP + 9/SN + %/SW + ,/SP
어깨-목의	어깨/NNG + -/SS + 목/NNG + 의/JKG
통증	통증/NNG
67.7%,	67/SN + ./SP + 7/SN + %/SW + ,/SP
현기증	현기증/NNG
63.6%,	63/SN + ./SP + 6/SN + %/SW + ,/SP
목의	목/NNG + 의/JKG
통증	통증/NNG
61.7%,	61/SN + ./SP + 7/SN + %/SW + ,/SP
요통	요통/NNG
61.1%,	61/SN + ./SP + 1/SN + %/SW + ,/SP
기침	기침/NNG
58.6%,	58/SN + ./SP + 6/SN + %/SW + ,/SP
코막힘	코/NNG + 막히/VV + ㅁ/ETN
57.0%,	57/SN + ./SP + 0/SN + %/SW + ,/SP
추위	추위/NNG
56.2%,	56/SN + ./SP + 2/SN + %/SW + ,/SP
피부	피부/NNG
건조	건조/NNG
54.3%,	54/SN + ./SP + %/SW + 3/SN + ,/SP
매스꺼움	매스껍/VA + ㅁ/ETN
51.7%의	51/SN + ./SP + 7/SN + %/SW + 의/JKG
순으로	순/NNG + 으로/JKB
응답했다.	응답/NNG + 하/XSV + 았/EP + 다/EF + ./SF

김	김/NNP
교수는	교수/NNG + 는/JX
"총	"/SS + 총/MM
21	21/SN
개	개/NNB
질문	질문/NNG
항목	항목/NNG
중	중/NNB
응답자의	응답자/NNG + 의/JKG
절반	절반/NNG
이상이	이상/NNG + 이/JKS
경험하고	경험/NNG + 하/XSV + 고/EC
있는	있/VX + 는/ETM
증상이	증상/NNG + 이/JKS
12	12/SN
개항으로	개/NNB + 항/NNG + 으로/JKB
나타났다"며	나타나/VV + 았/EP + 다/EC + "/SS + 며/EC
"선진	"/SS + 선진/NNG
외국에서	외국/NNG + 에서/JKB
새롭게	새롭/VA + 게/EC
연구	연구/NNG
대상이	대상/NNG + 이/JKC
되고	되/VV + 고/EC
있는	있/VX + 는/ETM
밀폐	밀폐/NNG
건물	건물/NNG
증후군이	증후군/NNG + 이/JKS
한국에서도	한국/NNP + 에서/JKB + 도/JX
심각한	심각/XR + 하/XSA + ㄴ/ETM
건강	건강/NNG
문제를	문제/NNG + 를/JKO
야기하고	야기/NNG + 하/XSV + 고/EC
있는	있/VX + 는/ETM
것으로	것/NNB + 으로/JKB
파악된다"고	파악/NNG + 되/XSV + ㄴ다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그러나,	그러나/MAJ + ,/SP
이	이/MM
증후군은	증후군/NNG + 은/JX
신체적	신체/NNG + 적/XSN
불편을	불편/NNG + 을/JKO
초래할	초래/NNG + 하/XSV + ㄹ/ETM
뿐	뿐/NNB
질병	질병/NNG
자체는	자체/NNG + 는/JX
아니라는	아니/VCN + 라는/ETM
게	것/NNB + 이/JKS
의사들의	의사/NNG + 들/XSN + 의/JKG
설명이다.	설명/NNG + 이/VCP + 다/EF + ./SF

서울대	서울대/NNP
의대	의대/NNG
유태우	유태우/NNP
교수(가정의학과)는	교수/NNG + (/SS + 가정/NNG + 의학/NNG + 과/NNG + )/SS + 는/JX
"지금까지	"/SS + 지금/NNG + 까지/JX
밝혀진	밝히/VV + 어/EC + 지/VX + ㄴ/ETM
바로는	바/NNB + 로/JKB + 는/JX
환기가	환기/NNG + 가/JKS
불충분한	불/XPN + 충분/XR + 하/XSA + ㄴ/ETM
실내의	실내/NNG + 의/JKG
가스성	가스/NNG + 성/XSN
화학	화학/NNG
물질이	물질/NNG + 이/JKS
이	이/MM
증후군의	증후군/NNG + 의/JKG
주요	주요/NNG
원인"이라고	원인/NNG + "/SS + 이라고/JKQ
설명했다.	설명/NNG + 하/XSV + 았/EP + 다/EF + ./SF

유교수는	유/NNP + 교수/NNG + 는/JX
대표적인	대표/NNG + 적/XSN + 이/VCP + ㄴ/ETM
것이	것/NNB + 이/JKS
담배연기와	담배/NNG + 연기/NNG + 와/JC
알데히드,	알데히드/NNG + ,/SP
유기용제	유기/NNG + 용제/NNG
등을	등/NNB + 을/JKO
꼽았다.	꼽/VV + 았/EP + 다/EF + ./SF

"담배연기에는	"/SS + 담배/NNG + 연기/NNG + 에/JKB + 는/JX
니코틴,	니코틴/NNG + ,/SP
일산화탄소	일산화탄소/NNG
외에도	외/NNB + 에/JKB + 도/JX
4천여	4/SN + 천/NR + 여/XSN
종의	종/NNG + 의/JKG
유해	유해/NNG
물질이	물질/NNG + 이/JKS
들어	들/VV + 어/EC
있다.	있/VX + 다/EF + ./SF

알데히드는	알데히드/NNG + 는/JX
합판,	합판/NNG + ,/SP
가구,	가구/NNG + ,/SP
카펫	카펫/NNG
등에서,	등/NNB + 에서/JKB + ,/SP
유기용제는	유기/NNG + 용제/NNG + 는/JX
페인트나	페인트/NNG + 나/JC
접착제,	접착제/NNG + ,/SP
복사기	복사기/NNG
등에서	등/NNB + 에서/JKB
생길	생기/VV + ㄹ/ETM
수	수/NNB
있다."	있/VV + 다/EF + ./SF + "/SS

최근에는	최근/NNG + 에/JKB + 는/JX
이들	이/NP + 들/XSN
외에	외/NNB + 에/JKB
박테리아,	박테리아/NNG + ,/SP
곰팡이	곰팡이/NNG
등	등/NNB
사무실이나	사무실/NNG + 이나/JC
아파트	아파트/NNG
안의	안/NNG + 의/JKG
미생물성	미생물/NNG + 성/XSN
물질도	물질/NNG + 도/JX
중요한	중요/NNG + 하/XSA + ㄴ/ETM
작용을	작용/NNG + 을/JKO
하는	하/VV + 는/ETM
것으로	것/NNB + 으로/JKB
알려졌다.	알리/VV + 어/EC + 지/VX + 었/EP + 다/EF + ./SF

미생물성	미생물/NNG + 성/XSN
물질들은	물질/NNG + 들/XSN + 은/JX
주로	주로/MAG
호흡기에	호흡기/NNG + 에/JKB
작용,	작용/NNG + ,/SP
호흡기	호흡기/NNG
계통이	계통/NNG + 이/JKS
민감한	민감/XR + 하/XSA + ㄴ/ETM
사람들에게	사람/NNG + 들/XSN + 에게/JKB
염증을	염증/NNG + 을/JKO
일으키거나	일으키/VV + 거나/EC
기존	기존/NNG
질환을	질환/NNG + 을/JKO
심화시킨다는	심화/NNG + 시키/XSV + ㄴ다는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

증후군에	증후군/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
대책은	대책/NNG + 은/JX
예방에	예방/NNG + 에/JKB
역점이	역점/NNG + 이/JKS
두어져야	두/VV + 어/EC + 지/VX + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

금연	금연/NNG
구역의	구역/NNG + 의/JKG
확대,	확대/NNG + ,/SP
청결과	청결/NNG + 과/JC
환경	환경/NNG
개선을	개선/NNG + 을/JKO
통해	통하/VV + 아/EC
미생물성	미생물/NNG + 성/XSN
물질의	물질/NNG + 의/JKG
생성을	생성/NNG + 을/JKO
막아야	막/VV + 아야/EC
한다는	하/VX + ㄴ다는/ETM
것이	것/NNB + 이/JKS
전문가들의	전문가/NNG + 들/XSN + 의/JKG
지적이다.	지적/NNG + 이/VCP + 다/EF + ./SF

어떤	어떤/MM
종류의	종류/NNG + 의/JKG
음식이나	음식/NNG + 이나/JC
식품도	식품/NNG + 도/JX
관절염(통풍은	관절염/NNG + (/SS + 통풍/NNG + 은/JX
제외)에	제외/NNG + )/SS + 에/JKB
효과가	효과/NNG + 가/JKS
있다는	있/VV + 다는/ETM
증거는	증거/NNG + 는/JX
없다.	없/VA + 다/EF + ./SF

참치,	참치/NNG + ,/SP
정어리,	정어리/NNG + ,/SP
고등어	고등어/NNG
등에	등/NNB + 에/JKB
많은	많/VA + 은/ETM
불포화지방산(오메가	불/XPN + 포화/NNG + 지방산/NNG + (/SS + 오메가/NNG
3)이관절의	3/SN + )/SS + 이관절/NNG + 의/JKG
염증을	염증/NNG + 을/JKO
억제하고	억제/NNG + 하/XSV + 고/EC
면역	면역/NNG
기능을	기능/NNG + 을/JKO
증가시킨다는	증가/NNG + 시키/XSV + ㄴ다는/ETM
보고가	보고/NNG + 가/JKS
있으나	있/VV + 으나/EC
아직	아직/MAG
치료제로	치료제/NNG + 로/JKB
인정되고	인정/NNG + 되/XSV + 고/EC
있지는	있/VX + 지/EC + 는/JX
못하다.	못하/VX + 다/EF + ./SF

관절염과	관절염/NNG + 과/JC
이로	이/NP + 로/JKB
인한	인하/VV + ㄴ/ETM
체력	체력/NNG
소모를	소모/NNG + 를/JKO
이기기	이기/VV + 기/ETN
위해서는	위하/VV + 아서/EC + 는/JX
소위	소위/MAG
'균형있는	'/SS + 균형/NNG + 있/VV + 는/ETM
식사'로	식사/NNG + '/SS + 로/JKB
충분한	충분/XR + 하/XSA + ㄴ/ETM
영양분을	영양분/NNG + 을/JKO
섭취하는	섭취/NNG + 하/XSV + 는/ETM
것이	것/NNB + 이/JKS
현재로선	현재/NNG + 로서/JKB + ㄴ/JX
가장	가장/MAG
좋다.	좋/VA + 다/EF + ./SF

빈혈이	빈혈/NNG + 이/JKS
있는	있/VV + 는/ETM
만성	만성/NNG
관절염	관절염/NNG
환자들은	환자/NNG + 들/XSN + 은/JX
충분한	충분/XR + 하/XSA + ㄴ/ETM
육류	육/NNG + 류/XSN
단백질과	단백질/NNG + 과/JKB
함께	함께/MAG
철분이	철분/NNG + 이/JKS
많이	많이/MAG
함유된	함유/NNG + 되/XSV + ㄴ/ETM
음식을	음식/NNG + 을/JKO
먹는	먹/VV + 는/ETM
것이	것/NNB + 이/JKS
바람직하다.	바람직/XR + 하/XSA + 다/EF + ./SF

소간,	소간/NNG + ,/SP
달걀	달걀/NNG
노른자,	노른자/NNG + ,/SP
선지	선지/NNG
등이	등/NNB + 이/JKS
이에	이/NP + 에/JKB
속한다.	속하/VV + ㄴ다/EF + ./SF

항간에	항간/NNG + 에/JKB
류머티즘	류머티즘/NNG
관절염	관절염/NNG
환자들에게	환자/NNG + 들/XSN + 에게/JKB
체질	체질/NNG
개선(?)을	개선/NNG + (/SS + ?/SP + )/SS + 을/JKO
위해	위하/VV + 아/EC
포도나	포도/NNG + 나/JC
야채만으로	야채/NNG + 만/JX + 으로/JKB
식사를	식사/NNG + 를/JKO
하라는	하/VV + 라는/ETM
민간	민간/NNG
요법이	요법/NNG + 이/JKS
권장되고	권장/NNG + 되/XSV + 고/EC
있는	있/VX + 는/ETM
것은	것/NNB + 은/JX
정말	정말/MAG
한심한	한심/XR + 하/XSA + ㄴ/ETM
일이다.	일/NNG + 이/VCP + 다/EF + ./SF

원자력에	원자력/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
일반인들의	일반인/NNG + 들/XSN + 의/JKG
두려움을	두려움/NNG + 을/JKO
없애기	없애/VV + 기/ETN
위해서는	위하/VV + 아서/EC + 는/JX
언론의	언론/NNG + 의/JKG
역할이	역할/NNG + 이/JKS
중요하며	중요/NNG + 하/XSA + 며/EC
특히	특히/MAG
원자력	원자력/NNG
용어에	용어/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
순화	순화/NNG
작업이	작업/NNG + 이/JKS
시급하다는	시급/XR + 하/XSA + 다는/ETM
지적이	지적/NNG + 이/JKS
나왔다.	나오/VV + 았/EP + 다/EF + ./SF

서울대	서울대/NNP
강현두	강현두/NNP
교수(신문학과)는	교수/NNG + (/SS + 신문학/NNG + 과/NNG + )/SS + 는/JX
'언론과	'/SS + 언론/NNG + 과/JC
원자력에	원자력/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
국민의	국민/NNG + 의/JKG
이해'라는	이해/NNG + '/SS + 이/VCP + 라는/ETM
논문을	논문/NNG + 을/JKO
통해	통하/VV + 아/EC
이	이/NP
같이	같이/MAG
주장하고	주장/NNG + 하/XSV + 고/EC
원자력에	원자력/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
홍보에서	홍보/NNG + 에서/JKB
가장	가장/MAG
중요한	중요/NNG + 하/XSA + ㄴ/ETM
것은	것/NNB + 은/JX
원전	원전/NNG
등의	등/NNB + 의/JKG
'안전성'에	'/SS + 안전/NNG + 성/XSN + '/SS + 에/JKB
대해	대하/VV + 아/EC
확신을	확신/NNG + 을/JKO
심어	심/VV + 어/EC
주는	주/VX + 는/ETM
일이라고	일/NNG + 이/VCP + 라고/EC
강조했다.	강조/NNG + 하/XSV + 았/EP + 다/EF + ./SF

강	강/NNP
교수의	교수/NNG + 의/JKG
논문은	논문/NNG + 은/JX
26일부터	26/SN + 일/NNB + 부터/JX
이틀간	이틀간/NNG
서울	서울/NNP
쉐라톤워커힐	쉐라톤워커힐/NNP
호텔에서	호텔/NNG + 에서/JKB
열리는	열리/VV + 는/ETM
'원자력에	'/SS + 원자력/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
국민	국민/NNG
이해	이해/NNG
국제	국제/NNG
세미나'(IAEA-과기처	세미나/NNG + '/SS + (/SS + IAEA/SL + -/SS + 과기처/NNG
공동주최)에서	공동/NNG + 주최/NNG + )/SS + 에서/JKB
발표될	발표/NNG + 되/XSV + ㄹ/ETM
예정이다.	예정/NNG + 이/VCP + 다/EF + ./SF

강	강/NNP
교수는	교수/NNG + 는/JX
"현대인에게	"/SS + 현대인/NNG + 에게/JKB
원자력은	원자력/NNG + 은/JX
과학적	과학/NNG + 적/XSN
성과물이라기보다는	성과물/NNG + 이/VCP + 라기/ETN + 보다/JKB + 는/JX
파괴와	파괴/NNG + 와/JC
두려움의	두려움/NNG + 의/JKG
상징"이라며	상징/NNG + "/SS + 이/VCP + 라며/EC
이는	이/NP + 는/JX
원폭	원폭/NNG
피해의	피해/NNG + 의/JKG
경험,	경험/NNG + ,/SP
북한의	북한/NNP + 의/JKG
핵보유	핵/NNG + 보유/NNG
가능성,	가능/NNG + 성/XSN + ,/SP
반전	반전/NNG
반핵	반/XPN + 핵/NNG
평화	평화/NNG
운동,	운동/NNG + ,/SP
체르노빌과	체르노빌/NNP + 과/JC
드리마일의	드리마일/NNP + 의/JKG
원전	원전/NNG
사고	사고/NNG
등에서	등/NNB + 에서/JKB
생긴	생기/VV + ㄴ/ETM
부정적	부정/NNG + 적/XSN
이미지때문이라고	이미지/NNG + 때문/NNB + 이/VCP + 라고/EC
분석했다.	분석/NNG + 하/XSV + 았/EP + 다/EF + ./SF

예를	예/NNG + 를/JKO
들어	들/VV + 어/EC
'서울대	'/SS + 서울대/NNP
인구	인구/NNG
및	및/MAG
발전	발전/NNG
문제	문제/NNG
연구소'의	연구소/NNG + '/SS + 의/JKG
최근	최근/NNG
설문	설문/NNG
조사를	조사/NNG + 를/JKO
보면	보/VV + 면/EC
핵	핵/NNG
문제와	문제/NNG + 와/JKB
관련,	관련/NNG + ,/SP
국민의	국민/NNG + 의/JKG
52.5%가	52/SN + ./SP + 5/SN + %/SW + 가/JKS
핵폭탄,	핵폭탄/NNG + ,/SP
환경	환경/NNG
파괴	파괴/NNG
등을	등/NNB + 을/JKO
연상하고	연상/NNG + 하/XSV + 고/EC
있으며	있/VX + 으며/EC
반수에	반수/NNG + 에/JKB
가까운	가깝/VA + ㄴ/ETM
국민(48.6%)이	국민/NNG + (/SS + 48/SN + ./SP + 6/SN + %/SW + )/SS + 이/JKS
원전이	원전/NNG + 이/JKS
원자탄처럼	원자탄/NNG + 처럼/JKB
폭발할	폭발/NNG + 하/XSV + ㄹ/ETM
수가	수/NNB + 가/JKS
있다고	있/VV + 다고/EC
믿는	믿/VV + 는/ETM
등	등/NNB
원자력에	원자력/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
불신감과	불신감/NNG + 과/JC
잘못된	잘못/MAG + 되/XSV + ㄴ/ETM
지식이	지식/NNG + 이/JKS
만연되어	만연/NNG + 되/XSV + 어/EC
있다는	있/VX + 다는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

대다수	대다수/NNG
사람들이	사람/NNG + 들/XSN + 이/JKS
원자력에	원자력/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
지식을	지식/NNG + 을/JKO
언론을	언론/NNG + 을/JKO
통해	통하/VV + 아/EC
얻지만	얻/VV + 지만/EC
언론은	언론/NNG + 은/JX
주로	주로/MAG
긍정적인	긍정/NNG + 적/XSN + 이/VCP + ㄴ/ETM
측면보다는	측면/NNG + 보다/JKB + 는/JX
부정적인	부정/NNG + 적/XSN + 이/VCP + ㄴ/ETM
측면에	측면/NNG + 에/JKB
초점을	초점/NNG + 을/JKO
맞추어	맞추/VV + 어/EC
보도하고	보도/NNG + 하/XSV + 고/EC
있다고	있/VX + 다고/EC
강	강/NNP
교수는	교수/NNG + 는/JX
지적하고	지적/NNG + 하/XSV + 고/EC
일반의	일반/NNG + 의/JKG
원자력에	원자력/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
정확한	정확/NNG + 하/XSA + ㄴ/ETM
정보나	정보/NNG + 나/JC
지식의	지식/NNG + 의/JKG
결여가	결여/NNG + 가/JKS
문제라고	문제/NNG + 이/VCP + 라고/EC
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

올바른	올바르/VA + ㄴ/ETM
홍보의	홍보/NNG + 의/JKG
필요성과	필요/NNG + 성/XSN + 과/JKB
함께	함께/MAG
원자력	원자력/NNG
용어에	용어/NNG + 에/JKB
관한	관하/VV + ㄴ/ETM
문제도	문제/NNG + 도/JX
제기됐다.	제기/NNG + 되/XSV + 었/EP + 다/EF + ./SF

강	강/NNP
교수는	교수/NNG + 는/JX
"언론에선	"/SS + 언론/NNG + 에서/JKB + ㄴ/JX
흔히	흔히/MAG
원자력이나	원자력/NNG + 이나/JC
방사성이란	방사/NNG + 성/XSN + 이/VCP + 란/ETM
용어	용어/NNG
대신	대신/NNG
'핵'이란	'/SS + 핵/NNG + '/SS + 이/VCP + 란/ETM
단어를	단어/NNG + 를/JKO
사용하고	사용/NNG + 하/XSV + 고/EC
있는	있/VX + 는/ETM
데	데/NNB
이	이/MM
말은	말/NNG + 은/JX
곧	곧/MAG
핵무기,	핵무기/NNG + ,/SP
핵폭탄	핵폭탄/NNG
등과	등/NNB + 과/JKB
같은	같/VA + 은/ETM
뜻으로	뜻/NNG + 으로/JKB
해석될	해석/NNG + 되/XSV + ㄹ/ETM
수	수/NNB
있다"고	있/VV + 다/EC + "/SS + 고/JKQ
지적했다.	지적/NNG + 하/XSV + 았/EP + 다/EF + ./SF

따라서	따라서/MAJ
이를	이/NP + 를/JKO
극복할	극복/NNG + 하/XSV + ㄹ/ETM
중립적	중립/NNG + 적/XSN
용어의	용어/NNG + 의/JKG
개발이	개발/NNG + 이/JKS
시급하다고	시급/XR + 하/XSA + 다고/EC
주장했다.	주장/NNG + 하/XSV + 았/EP + 다/EF + ./SF

이와	이/NP + 와/JKB
관련해	관련/NNG + 하/XSV + 아/EC
한국원자력연구소	한국원자력연구소/NNP
정준극	정준극/NNP
홍보부장은	홍보/NNG + 부장/NNG + 은/JX
"원자력	"/SS + 원자력/NNG
용어	용어/NNG
중에는	중/NNB + 에/JKB + 는/JX
죽음이나	죽음/NNG + 이나/JC
시체	시체/NNG
등	등/NNB
부정적	부정/NNG + 적/XSN
의미들과	의미/NNG + 들/XSN + 과/JKB
관련된	관련/NNG + 되/XSV + ㄴ/ETM
것들이	것/NNB + 들/XSN + 이/JKS
많다"며	많/VA + 다/EC + "/SS + 며/EC
"이는	"/SS + 이/NP + 는/JX
미국이	미국/NNP + 이/JKS
원자탄을	원자탄/NNG + 을/JKO
처음	처음/NNG
개발할	개발/NNG + 하/XSV + ㄹ/ETM
때가	때/NNG + 가/JKS
전쟁	전쟁/NNG
상황이라서	상황/NNG + 이/VCP + 라서/EC
위장된	위장/NNG + 되/XSV + ㄴ/ETM
용어를	용어/NNG + 를/JKO
사용한	사용/NNG + 하/XSV + ㄴ/ETM
것이	것/NNB + 이/JKS
그대로	그대로/MAG
굳어졌기	굳어지/VV + 었/EP + 기/ETN
때문"이라고	때문/NNB + "/SS + 이라고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

최근	최근/NNG
원자력계에서는	원자력/NNG + 계/XSN + 에서/JKB + 는/JX
'핵	'/SS + 핵/NNG
폐기물'이나	폐기물/NNG + '/SS + 이나/JC
'방사성	'/SS + 방사/NNG + 성/XSN
폐기물'을	폐기물/NNG + '/SS + 을/JKO
'원자력	'/SS + 원자력/NNG
부산물'로	부산물/NNG + '/SS + 로/JKB
바꾸려는	바꾸/VV + 려는/ETM
노력	노력/NNG
등이	등/NNB + 이/JKS
일고	일/VV + 고/EC
있으며	있/VX + 으며/EC
일본에서는	일본/NNP + 에서/JKB + 는/JX
얼마	얼마/NNG
전부터	전/NNG + 부터/JX
'핵연료'를	'/SS + 핵연료/NNG + '/SS + 를/JKO
'원자연료'라는	'/SS + 원자/NNG + 연료/NNG + '/SS + 이/VCP + 라는/ETM
용어로	용어/NNG + 로/JKB
바꿔	바꾸/VV + 어/EC
쓰고	쓰/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

무성	무성/NNG
영화와	영화/NNG + 와/JC
유성	유성/NNG
영화에	영화/NNG + 에/JKB
이어	잇/VV + 어/EC
세계의	세계/NNG + 의/JKG
영화	영화/NNG
산업이	산업/NNG + 이/JKS
제3의	제/XPN + 3/SN + 의/JKG
전환기를	전환기/NNG + 를/JKO
맞고	맞/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

컴퓨터가	컴퓨터/NNG + 가/JKS
만들어	만들/VV + 어/EC
내는	내/VX + 는/ETM
디지털	디지털/NNG
영상의	영상/NNG + 의/JKG
시대가	시대/NNG + 가/JKS
본격	본격/NNG
전개되기	전개/NNG + 되/XSV + 기/ETN
시작한	시작/NNG + 하/XSV + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

컴퓨터에	컴퓨터/NNG + 에/JKB
의한	의하/VV + ㄴ/ETM
디지털	디지털/NNG
영상은	영상/NNG + 은/JX
지금까지	지금/NNG + 까지/JX
보지도	보/VV + 지/EC + 도/JX
듣지도	듣/VV + 지/EC + 도/JX
못한	못하/VX + ㄴ/ETM
특수	특수/NNG
효과들을	효과/NNG + 들/XSN + 을/JKO
가능케	가능/NNG + 하/XSA + 게/EC
함으로써	하/VX + ㅁ/ETN + 으로써/JKB
관객들을	관객/NNG + 들/XSN + 을/JKO
새로운	새롭/VA + ㄴ/ETM
환상의	환상/NNG + 의/JKG
세계로	세계/NNG + 로/JKB
몰아	몰/VV + 아/EC
넣고	넣/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

미국의	미국/NNP + 의/JKG
대중과학잡지	대중/NNG + 과학/NNG + 잡지/NNG
'퍼퓰러	'/SS + 퍼퓰러/NNP
사이언스'는	사이언스/NNG + '/SS + 는/JX
최근	최근/NNG
전자	전자/NNG
분야	분야/NNG
특집으로	특집/NNG + 으로/JKB
'디지털	'/SS + 디지털/NNG
세계'를	세계/NNG + '/SS + 를/JKO
다루면서	다루/VV + 면서/EC
그동안	그동안/NNG
화려한	화려/XR + 하/XSA + ㄴ/ETM
도시로만	도시/NNG + 로/JKB + 만/JX
알려져	알리/VV + 어/EC + 지/VX + 어/EC
온	오/VX + ㄴ/ETM
할리우드가	할리우드/NNP + 가/JKS
차츰	차츰/MAG
첨단	첨단/NNG
실리콘	실리콘/NNG
밸리로	밸리/NNG + 로/JKB
변해가는	변하/VV + 아/EC + 가/VX + 는/ETM
모습을	모습/NNG + 을/JKO
소개했다.	소개/NNG + 하/XSV + 았/EP + 다/EF + ./SF

할리우드의	할리우드/NNP + 의/JKG
디지털	디지털/NNG
영상	영상/NNG
제작	제작/NNG
감독	감독/NNG
스콧	스콧/NNP
빌럽스는	빌럽스/NNP + 는/JX
요즘	요즘/NNG
실내에	실내/NNG + 에/JKB
앉아	앉/VV + 아/EC
한	한/MM
편의	편/NNB + 의/JKG
영화를	영화/NNG + 를/JKO
만들고	만들/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

현장	현장/NNG
촬영을	촬영/NNG + 을/JKO
전혀	전혀/MAG
하지	하/VV + 지/EC
않은	않/VX + 은/ETM
세계	세계/NNG
최초의	최초/NNG + 의/JKG
영화가	영화/NNG + 가/JKC
될	되/VV + ㄹ/ETM
'고터다머룽(신들의	'/SS + 고터다머룽/NNP + (/SS + 신/NNG + 들/XSN + 의/JKG
황혼)'	황혼/NNG + )/SS + '/SS
제작을	제작/NNG + 을/JKO
위해	위하/VV + 아/EC
빌럽스는	빌럽스/NNP + 는/JX
'실리콘	'/SS + 실리콘/NNG
그래픽스'의	그래픽스/NNG + '/SS + 의/JKG
5만	5/SN + 만/NR
달러짜리	달러/NNB + 짜리/XSN
컴퓨터를	컴퓨터/NNG + 를/JKO
사용,	사용/NNG + ,/SP
히틀러	히틀러/NNP
내각의	내각/NNG + 의/JKG
비밀	비밀/NNG
서재를	서재/NNG + 를/JKO
전자적으로	전자/NNG + 적/XSN + 으로/JKB
재구성하고	재/XPN + 구성/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

유일하게	유일/NNG + 하/XSA + 게/EC
남아	남/VV + 아/EC
있는	있/VX + 는/ETM
