15면	15/SN + 면/NNG
퇴출만	퇴출/NNG + 만/JX
엄포	엄포/NNG
놓았을	놓/VX + 았/EP + 을/ETM
뿐	뿐/NNB
무자격	무/XPN + 자격/NNG
업체들의	업체/NNG + 들/XSN + 의/JKG
신규	신규/NNG
진입을	진입/NNG + 을/JKO
막을	막/VV + 을/ETM
장치를	장치/NNG + 를/JKO
마련하지	마련/NNG + 하/XSV + 지/EC
않고	않/VX + 고/EC
있기	있/VX + 기/ETN
때문.	때문/NNB + ./SF

건설업체는	건설업체/NNG + 는/JX
7월	7/SN + 월/NNB
이전	이전/NNG
한	한/MM
달	달/NNB
평균	평균/NNG
300여개사가	300/SN + 여/XSN + 개/NNB + 사/NNG + 가/JKS
늘었으나,	늘/VV + 었/EP + 으나/EC + ,/SP
퇴출	퇴출/NNG
엄포	엄포/NNG
이후에는	이후/NNG + 에/JKB + 는/JX
두	두/MM
배	배/NNG
수준인	수준/NNG + 이/VCP + ㄴ/ETM
매월	매월/MAG
600여개사가	600/SN + 여/XSN + 개/NNB + 사/NNG + 가/JKS
늘어나고	늘어나/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

◆사무실이	◆/SW + 사무실/NNG + 이/JKS
없어도	없/VA + 어도/EC
건설업	건설업/NNG
등록	등록/NNG
'가능'=현행	'/SS + 가능/NNG + '/SS + =/SW + 현행/NNG
'건설산업기본법'에	'/SS + 건설/NNG + 산업/NNG + 기본법/NNG + '/SS + 에/JKB
따르면	따르/VV + 면/EC
건설업	건설업/NNG
등록	등록/NNG
요건은	요건/NNG + 은/JX
자본금·기술자·경력임원	자본금/NNG + ·/SP + 기술자/NNG + ·/SP + 경력/NNG + 임원/NNG
등	등/NNB
3~4가지	3/SN + ~/SO + 4/SN + 가지/NNB
요건을	요건/NNG + 을/JKO
서류상으로만	서류/NNG + 상/XSN + 으로/JKB + 만/JX
갖추면	갖추/VV + 면/EC
건설업	건설업/NNG
등록을	등록/NNG + 을/JKO
마칠	마치/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

이	이/MM
때문에	때문/NNB + 에/JKB
실제	실제/NNG
사무실이	사무실/NNG + 이/JKS
없어	없/VA + 어/EC
설계도	설계도/NNG
볼	보/VV + ㄹ/ETM
공간조차	공간/NNG + 조차/JX
궁색해도	궁색/NNG + 하/XSA + 아도/EC
건설회사	건설/NNG + 회사/NNG
등록을	등록/NNG + 을/JKO
하는	하/VV + 는/ETM
데	데/NNB
문제가	문제/NNG + 가/JKC
되지	되/VV + 지/EC
않는다.	않/VX + 는다/EF + ./SF

건설공제조합에	건설/NNG + 공제/NNG + 조합/NNG + 에/JKB
일정	일정/NNG
금액을	금액/NNG + 을/JKO
'보험금'	'/SS + 보험금/NNG + '/SS
명목으로	명목/NNG + 으로/JKB
출자해야	출자/NNG + 하/XSV + 아야/EC
했던	하/VX + 았/EP + 던/ETM
출자(출자)의무도	출자/NNG + (/SS + 출자/NNG + )/SS + 의무/NNG + 도/JX
올	올/MM
7월부터	7/SN + 월/NNB + 부터/JX
폐지됐고,	폐지/NNG + 되/XSV + 었/EP + 고/EC + ,/SP
지난	지나/VV + ㄴ/ETM
4월에는	4/SN + 월/NNB + 에/JKB + 는/JX
10억원	10/SN + 억/NR + 원/NNB
미만	미만/NNG
소규모	소/XPN + 규모/NNG
공사의	공사/NNG + 의/JKG
'적격(적격)심사'	'/SS + 적격/NNG + (/SS + 적격/NNG + )/SS + 심사/NNG + '/SS
때	때/NNG
'시공경험'	'/SS + 시공/NNG + 경험/NNG + '/SS
평가마저	평가/NNG + 마저/JX
삭제돼	삭제/NNG + 되/XSV + 어/EC
'건설업체	'/SS + 건설업체/NNG
만들기'는	만들/VV + 기/ETN + '/SS + 는/JX
갈수록	갈수록/MAG
쉬워지고	쉽/VA + 어/EC + 지/VX + 고/EC
있다.	있/VX + 다/EF + ./SF

'전문건설업'	'/SS + 전문/NNG + 건설업/NNG + '/SS
분야도	분야/NNG + 도/JX
'중복면허	'/SS + 중복/NNG + 면허/NNG
보유제한'	보유/NNG + 제한/NNG + '/SS
규정이	규정/NNG + 이/JKS
완화됐다.	완화/NNG + 되/XSV + 었/EP + 다/EF + ./SF

최소한의	최소한/NNG + 의/JKG
등록요건조차	등록/NNG + 요건/NNG + 조차/JX
구비하지	구비/NNG + 하/XSV + 지/EC
못한	못하/VX + ㄴ/ETM
무자격업체들을	무/XPN + 자격/NNG + 업체/NNG + 들/XSN + 을/JKO
위해	위하/VV + 아/EC
이른바	이른바/MAG
'면허	'/SS + 면허/NNG
브로커'들도	브로커/NNG + '/SS + 들/XSN + 도/JX
기승을	기승/NNG + 을/JKO
부리고	부리/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

H건설	H/SL + 건설/NNG
K이사는	K/SL + 이사/NNG + 는/JX
"1200만~2200만원만	"/SS + 1200/SN + 만/NR + ~/SO + 2200/SN + 만/NR + 원/NNB + 만/JX
주면	주/VX + 면/EC
(브로커들이)	(/SS + 브로커/NNG + 들/XSN + 이/JKS + )/SS
허위	허위/NNG
기재	기재/NNG
등의	등/NNB + 의/JKG
수법을	수법/NNG + 을/JKO
통해	통하/VV + 아/EC
등록증을	등록증/NNG + 을/JKO
알아서	알/VV + 아서/EC
발급받아준다"고	발급/NNG + 받/VV + 아/EC + 주/VX + ㄴ다/EC + "/SS + 고/JKQ
털어놨다.	털어놓/VV + 았/EP + 다/EF + ./SF

◆정부의	◆/SW + 정부/NNG + 의/JKG
'퇴출엄포'를	'/SS + 퇴출/NNG + 엄포/NNG + '/SS + 를/JKO
비웃는	비웃/VV + 는/ETM
건설업체	건설업체/NNG
증가세=건교부	증가세/NNG + =/SW + 건교부/NNG
이명로	이/MM + 명/NNB + 로/JKB
건설경제과장은	건설/NNG + 경제/NNG + 과장/NNG + 은/JX
"서류상으로	"/SS + 서류/NNG + 상/XSN + 으로/JKB
자본금	자본금/NNG
미달인	미달/NNG + 이/VCP + ㄴ/ETM
무자격	무/XPN + 자격/NNG
업체	업체/NNG
1만3000여개(전문건설업	1/SN + 만/NR + 3000/SN + 여/XSN + 개/NNB + (/SS + 전문/NNG + 건설업/NNG
포함)를	포함/NNG + )/SS + 를/JKO
적발해	적발/NNG + 하/XSV + 아/EC
냈으며	내/VX + 었/EP + 으며/EC
곧	곧/MAG
퇴출대상을	퇴출/NNG + 대상/NNG + 을/JKO
가릴	가리/VV + ㄹ/ETM
방침"이라고	방침/NNG + "/SS + 이라고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그러나	그러나/MAJ
정부	정부/NNG
엄포에	엄포/NNG + 에/JKB
아랑곳하지	아랑곳/NNG + 하/XSV + 지/EC
않겠다는	않/VX + 겠/EP + 다는/ETM
듯	듯/NNB
일반	일반/NNG
건설업체	건설업체/NNG
수는	수/NNG + 는/JX
지난해	지난해/NNG
말	말/NNG
5147개사에서	5/SN + 147/SN + 개/NNB + 사/NNG + 에서/JKB
9월	9/SN + 월/NNB
말	말/NNG
현재	현재/MAG
6731개사로	67/SN + 31/SN + 개/NNB + 사/NNG + 로/JKB
1584개사가	1584/SN + 개/NNB + 사/NNG + 가/JKS
늘었다.	늘/VV + 었/EP + 다/EF + ./SF

한달에	한/MM + 달/NNB + 에/JKB
176개사씩	176/SN + 개/NNB + 사/NNG + 씩/XSN
늘어난	늘어나/VV + ㄴ/ETM
셈.	셈/NNB + ./SF

일반	일반/NNG
건설업체의	건설업체/NNG + 의/JKG
경우	경우/NNG
이달	이달/NNG
초	초/NNB
단	단/MM
6일	6/SN + 일/NNB
만에	만/NNB + 에/JKB
219개사가	219/SN + 개/NNB + 사/NNG + 가/JKS
늘었다.	늘/VV + 었/EP + 다/EF + ./SF

◆부실방지	◆/SW + 부실/NNG + 방지/NNG
위해서도	위하/VV + 아서/EC + 도/JX
등록요건	등록/NNG + 요건/NNG
강화	강화/NNG
시급=건설협회	시급/NNG + =/SW + 건설/NNG + 협회/NNG
최윤호	최윤호/NNP
기획조정실장은	기획/NNG + 조정/NNG + 실장/NNG + 은/JX
"서류	"/SS + 서류/NNG
요건만보고	요건/NNG + 만/JX + 보/VV + 고/EC
등록증을	등록증/NNG + 을/JKO
내주고,	내주/VV + 고/EC + ,/SP
사후	사후/NNG
관리감독조차	관리/NNG + 감독/NNG + 조차/JX
소홀히	소홀히/MAG
하는	하/VV + 는/ETM
관리부재가	관리/NNG + 부재/NNG + 가/JKS
지속된다면	지속/NNG + 되/XSV + ㄴ다면/EC
무자격업체의	무/XPN + 자격/NNG + 업체/NNG + 의/JKG
부실시공이	부실시공/NNG + 이/JKS
심각해질	심각/XR + 하/XSA + 아/EC + 지/VX + ㄹ/ETM
것"이라고	것/NNB + "/SS + 이라고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

전문건설협회	전문/NNG + 건설/NNG + 협회/NNG
정하영	정하영/NNP
기획실장은	기획실장/NNG + 은/JX
"현행	"/SS + 현행/NNG
등록제가	등록/NNG + 제/XSN + 가/JKS
아무나	아무/NP + 나/JX
영업할	영업/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있도록	있/VV + 도록/EC
해	하/VX + 아/EC
놨기	놓/VX + 았/EP + 기/ETN
때문에	때문/NNB + 에/JKB
앞으로도	앞/NNG + 으로/JKB + 도/JX
계속	계속/MAG
늘어날	늘어나/VV + ㄹ/ETM
것이고	것/NNB + 이/VCP + 고/EC
악화가	악화/NNG + 가/JKS
양화를	양화/NNG + 를/JKO
구축하는	구축/NNG + 하/XSV + 는/ETM
현상이	현상/NNG + 이/JKS
심화될	심화/NNG + 되/XSV + ㄹ/ETM
것"이라고	것/NNB + "/SS + 이라고/JKQ
꼬집었다.	꼬집/VV + 었/EP + 다/EF + ./SF

19	19/SN
면	면/NNG
45	45/SN
판	판/NNB
1038자	1038/SN + 자/NNG

지난	지나/VV + ㄴ/ETM
주	주/NNB
미국의	미국/NNP + 의/JKG
의료관련	의료/NNG + 관련/NNG
사이트인	사이트/NNG + 이/VCP + ㄴ/ETM
WebMD가	WebMD/SL + 가/JKS
내년	내년/NNG
말까지	말/NNB + 까지/JX
1100명을	1100/SN + 명/NNB + 을/JKO
감원하겠다는	감원/NNG + 하/XSV + 겠/EP + 다는/ETM
발표를	발표/NNG + 를/JKO
했다.	하/VV + 았/EP + 다/EF + ./SF

그리고	그리고/MAJ
한때	한때/NNG
각광	각광/NNG
받던	받/VV + 던/ETM
키부닷컴,	키부닷컴/NNP + ,/SP
프로덕피아닷컴,	프로덕피아닷컴/NNP + ,/SP
릴닷컴	릴닷컴/NNP
등은	등/NNB + 은/JX
문을	문/NNG + 을/JKO
닫았다.	닫/VV + 았/EP + 다/EF + ./SF

반면,	반면/NNG + ,/SP
지난	지나/VV + ㄴ/ETM
5월	5/SN + 월/NNB
파산했던	파산/NNG + 하/XSV + 았/EP + 던/ETM
부닷컴은	부닷컴/NNG + 은/JX
10월	10/SN + 월/NNB
말	말/NNG
사이트를	사이트/NNG + 를/JKO
재오픈할	재/XPN + 오픈/NNG + 하/XSV + ㄹ/ETM
예정이고,	예정/NNG + 이/VCP + 고/EC + ,/SP
오프라인	오프라인/NNG
기업들의	기업/NNG + 들/XSN + 의/JKG
e비즈니스에	e/SL + 비즈니스/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
투자도	투자/NNG + 도/JX
계속	계속/MAG
진행되고	진행/NNG + 되/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

다임러크라이슬러는	다임러/NNP + 크라이슬러/NNP + 는/JX
지난	지나/VV + ㄴ/ETM
9일	9/SN + 일/NNB
전자상거래	전자/NNG + 상거래/NNG
사업	사업/NNG
부문인	부문/NNG + 이/VCP + ㄴ/ETM
DCX넷을	DCX/SL + 넷/NNG + 을/JKO
출범시킴과	출범/NNG + 시키/XSV + ㅁ/ETN + 과/JC
동시에,	동시/NNG + 에/JKB + ,/SP
e비즈니스	e/SL + 비즈니스/NNG
및	및/MAG
기술	기술/NNG
벤처기업의	벤처/NNG + 기업/NNG + 의/JKG
인수를	인수/NNG + 를/JKO
전담할	전담/NNG + 하/XSV + ㄹ/ETM
지주회사를	지주/NNG + 회사/NNG + 를/JKO
설립한다고	설립/NNG + 하/XSV + ㄴ다고/EC
발표했다.	발표/NNG + 하/XSV + 았/EP + 다/EF + ./SF

이러한	이러/XR + 하/XSA + ㄴ/ETM
엇갈린	엇갈리/VV + ㄴ/ETM
뉴스에서	뉴스/NNG + 에서/JKB
보듯이,	보/VV + 듯이/EC + ,/SP
e비즈니스를	e/SL + 비즈니스/NNG + 를/JKO
둘러싸고	둘러싸/VV + 고/EC
혼란스러운	혼란/NNG + 스럽/XSA + ㄴ/ETM
상황이	상황/NNG + 이/JKS
계속되고	계속/NNG + 되/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

그러나	그러나/MAJ
e비즈니스가	e/SL + 비즈니스/NNG + 가/JKS
성장을	성장/NNG + 을/JKO
지속하리라는	지속/NNG + 하/XSV + 리라는/ETM
데는	데/NNB + 는/JX
이론의	이론/NNG + 의/JKG
여지가	여지/NNB + 가/JKS
없어	없/VA + 어/EC
보인다.	보이/VV + ㄴ다/EF + ./SF

열풍은	열풍/NNG + 은/JX
가라앉았지만,	가라앉/VV + 았/EP + 지만/EC + ,/SP
아직	아직/MAG
e비즈니스의	e/SL + 비즈니스/NNG + 의/JKG
미래에	미래/NNG + 에/JKB
대해	대하/VV + 아/EC
낙관적인	낙관/NNG + 적/XSN + 이/VCP + ㄴ/ETM
예측치를	예측/NNG + 치/XSN + 를/JKO
내놓는	내놓/VV + 는/ETM
연구가	연구/NNG + 가/JKS
압도적이다.	압도/NNG + 적/XSN + 이/VCP + 다/EF + ./SF

e비즈니스가	e/SL + 비즈니스/NNG + 가/JKS
각광	각광/NNG
받는	받/VV + 는/ETM
것은	것/NNB + 은/JX
이것이	이것/NP + 이/JKS
기업	기업/NNG
경영에	경영/NNG + 에/JKB
주는	주/VV + 는/ETM
막대한	막대/XR + 하/XSA + ㄴ/ETM
효과	효과/NNG
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

즉,	즉/MAG + ,/SP
e비즈니스는	e/SL + 비즈니스/NNG + 는/JX
적절히	적절히/MAG
활용될	활용/NNG + 되/XSV + ㄹ/ETM
경우	경우/NNG
비용을	비용/NNG + 을/JKO
크게	크/VA + 게/EC
절감하는	절감/NNG + 하/XSV + 는/ETM
기회를	기회/NNG + 를/JKO
줄	주/VV + ㄹ/ETM
뿐만	뿐/NNB + 만/JX
아니라,	아니/VCN + 라/EC + ,/SP
고품질의	고/XPN + 품질/NNG + 의/JKG
제품이나	제품/NNG + 이나/JC
서비스를	서비스/NNG + 를/JKO
소비자	소비자/NNG
입맛에	입맛/NNG + 에/JKB
맞게	맞/VV + 게/EC
제공할	제공/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있도록	있/VV + 도록/EC
해준다.	하/VX + 아/EC + 주/VX + ㄴ다/EF + ./SF

그렇다면	그렇/VA + 다면/EC
e비즈니스의	e/SL + 비즈니스/NNG + 의/JKG
이러한	이러/XR + 하/XSA + ㄴ/ETM
잠재적	잠재/NNG + 적/XSN
위력에도	위력/NNG + 에/JKB + 도/JX
불구하고	불구/XR + 하/XSV + 고/EC
현실은	현실/NNG + 은/JX
여전히	여전히/MAG
혼란스러운	혼란/NNG + 스럽/XSA + ㄴ/ETM
이유는	이유/NNG + 는/JX
무엇일까.	무엇/NP + 이/VCP + ㄹ까/EF + ./SF

이는	이/NP + 는/JX
e비즈니스	e/SL + 비즈니스/NNG
본질의	본질/NNG + 의/JKG
문제라기보다는	문제/NNG + 이/VCP + 라기/ETN + 보다/JKB + 는/JX
e비즈니스를	e/SL + 비즈니스/NNG + 를/JKO
맹목적으로	맹목/NNG + 적/XSN + 으로/JKB
바라보는	바라보/VV + 는/ETM
경영자들의	경영자/NNG + 들/XSN + 의/JKG
환상에서	환상/NNG + 에서/JKB
비롯된	비롯/XR + 되/XSV + ㄴ/ETM
경우가	경우/NNG + 가/JKS
많다.	많/VA + 다/EF + ./SF

온라인	온라인/NNG
비즈니스건	비즈니스/NNG + 건/NNB
오프라인	오프라인/NNG
비즈니스건	비즈니스/NNG + 건/NNB
고객이	고객/NNG + 이/JKS
원하는	원하/VV + 는/ETM
가치를	가치/NNG + 를/JKO
지속적으로	지속/NNG + 적/XSN + 으로/JKB
창출하지	창출/NNG + 하/XSV + 지/EC
못하면	못하/VX + 면/EC
성공할	성공/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
없다.	없/VA + 다/EF + ./SF

이것은	이것/NP + 은/JX
비즈니스의	비즈니스/NNG + 의/JKG
대전제다.	대/XPN + 전제/NNG + 이/VCP + 다/EF + ./SF

닷컴들이	닷컴/NNG + 들/XSN + 이/JKS
뒤늦게	뒤늦/VA + 게/EC
온라인	온라인/NNG
비즈니스에	비즈니스/NNG + 에/JKB
뛰어든	뛰어들/VV + ㄴ/ETM
GE나	GE/SL + 나/JC
Southwest항공사와	SouthWest/SL + 항공사/NNG + 와/JKB
같은	같/VA + 은/ETM
오프라인	오프라인/NNG
강자들에게	강자/NNG + 들/XSN + 에게/JKB
밀리는	밀리/VV + 는/ETM
것도	것/NNB + 도/JX
이	이/MM
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

만약	만약/NNG
순수	순수/NNG
닷컴이라면	닷컴/NNG + 이/VCP + 라면/EC
온라인에서만	온라인/NNG + 에서/JKB + 만/JX
가능한	가능/NNG + 하/XSA + ㄴ/ETM
비즈니스를	비즈니스/NNG + 를/JKO
하는	하/VV + 는/ETM
기업의	기업/NNG + 의/JKG
성공	성공/NNG
확률이	확률/NNG + 이/JKS
높을	높/VA + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

오프라인과	오프라인/NNG + 과/JC
경쟁해야	경쟁/NNG + 하/XSV + 아야/EC
하는	하/VX + 는/ETM
경우에는	경우/NNG + 에/JKB + 는/JX
오프라인에서의	오프라인/NNG + 에서/JKB + 의/JKG
핵심역량을	핵심/NNG + 역량/NNG + 을/JKO
이용해	이용/NNG + 하/XSV + 아/EC
온라인으로	온라인/NNG + 으로/JKB
뛰어든	뛰어들/VV + ㄴ/ETM
기업의	기업/NNG + 의/JKG
승산이	승산/NNG + 이/JKS
훨씬	훨씬/MAG
높을	높/VA + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그러나	그러나/MAJ
오프라인	오프라인/NNG
기업이	기업/NNG + 이/JKS
온라인화한다	온라인/NNG + 화/XSN + 하/XSV + ㄴ다/EC
해서	하/VV + 아서/EC
무조건	무조건/MAG
성공하는	성공/NNG + 하/XSV + 는/ETM
것은	것/NNB + 은/JX
아니다.	아니/VCN + 다/EF + ./SF

델	델/NNP
컴퓨터의	컴퓨터/NNG + 의/JKG
CEO	CEO/SL
마이클	마이클/NNP
델이	델/NNP + 이/JKS
지적하듯이,	지적/NNG + 하/XSV + 듯이/EC + ,/SP
오프라인에서	오프라인/NNG + 에서/JKB
경쟁력이	경쟁력/NNG + 이/JKS
없던	없/VA + 던/ETM
사업을	사업/NNG + 을/JKO
온라인화한다고	온라인/NNG + 화/XSN + 하/XSV + ㄴ다고/EC
해서	하/VV + 아서/EC
없던	없/VA + 던/ETM
경쟁력이	경쟁력/NNG + 이/JKS
생기지는	생기/VV + 지/EC + 는/JX
않기	않/VX + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

(경제)	(/SS + 경제/NNG + )/SS
뉴스	뉴스/NNG
13	13/SN
면	면/NNG
45	45/SN
판	판/NNB
985자	985/SN + 자/NNG

내년	내년/NNG
1월부터	1/SN + 월/NNB + 부터/JX
2단계	2/SN + 단계/NNG
외환거래자유화가	외환/NNG + 거래/NNG + 자유/NNG + 화/XSN + 가/JKS
실시돼	실시/NNG + 되/XSV + 어/EC
해외	해외/NNG
증여성	증여/NNG + 성/XSN
송금의	송금/NNG + 의/JKG
한도가	한도/NNG + 가/JKS
없어지는	없/VA + 어/EC + 지/VX + 는/ETM
대신	대신/NNG
일정	일정/NNG
액수(미정)를	액수/NNG + (/SS + 미정/NNP + )/SS + 를/JKO
넘는	넘/VV + 는/ETM
경우	경우/NNG
한국은행에	한국은행/NNP + 에/JKB
미리	미리/MAG
보고해야	보고/NNG + 하/XSV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

또	또/MAG
일정	일정/NNG
액수를	액수/NNG + 를/JKO
초과하는	초과/NNG + 하/XSV + 는/ETM
해외예금,	해외/NNG + 예금/NNG + ,/SP
신탁자산	신탁/NNG + 자산/NNG
등도	등/NNB + 도/JX
매년	매년/MAG
한	하/VV + ㄴ/ETM
번씩	번/NNB + 씩/XSN
한국은행에	한국은행/NNP + 에/JKB
잔고를	잔고/NNG + 를/JKO
통보해야	통보/NNG + 하/XSV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

재정경제부는	재정/NNG + 경제/NNG + 부/NNG + 는/JX
19일	19/SN + 일/NNB
서울	서울/NNP
명동	명동/NNP
은행회관에서	은행회관/NNP + 에서/JKB
금융발전심의회(금발심)를	금융/NNG + 발전/NNG + 심의회/NNG + (/SS + 금발/NNG + 심/NNG + )/SS + 를/JKO
열어	열/VV + 어/EC
급격한	급격/XR + 하/XSA + ㄴ/ETM
자본	자본/NNG
유출	유출/NNG
및	및/MAG
불법적인	불법/NNG + 적/XSN + 이/VCP + ㄴ/ETM
자금세탁을	자금/NNG + 세탁/NNG + 을/JKO
막기	막/VV + 기/ETN
위해	위하/VV + 아/EC
이	이/NP
같은	같/VA + 은/ETM
내용의	내용/NNG + 의/JKG
'2단계	'/SS + 2/SN + 단계/NNG
외환자유화	외환/NNG + 자유/NNG + 화/XSN
보완대책'을	보완/NNG + 대책/NNG + '/SS + 을/JKO
확정했다.	확정/NNG + 하/XSV + 았/EP + 다/EF + ./SF

금발심은	금발심/NNG + 은/JX
송금자가	송금자/NNG + 가/JKS
이	이/NP
같은	같/VA + 은/ETM
보고	보고/NNG
의무를	의무/NNG + 를/JKO
지키지	지키/VV + 지/EC
않을	않/VX + 을/ETM
경우	경우/NNG
500만원	500/SN + 만/NR + 원/NNB
이하의	이하/NNG + 의/JKG
과태료를	과태료/NNG + 를/JKO
물어야	물/VV + 어야/EC
하며,	하/VX + 며/EC + ,/SP
국부유출	국부/NNG + 유출/NNG
혐의가	혐의/NNG + 가/JKS
밝혀지면	밝히/VV + 어/EC + 지/VX + 면/EC
1년	1/SN + 년/NNB
이상의	이상/NNG + 의/JKG
징역	징역/NNG
또는	또는/MAG
도피금액의	도피/NNG + 금액/NNG + 의/JKG
2~10배의	2/SN + ~/SO + 10/SN + 배/NNG + 의/JKG
벌금을	벌금/NNG + 을/JKO
내도록	내/VV + 도록/EC
결정했다.	결정/NNG + 하/XSV + 았/EP + 다/EF + ./SF

현재	현재/MAG
증여성	증여/NNG + 성/XSN
송금은	송금/NNG + 은/JX
연간	연간/NNG
누계	누계/NNG
1만달러,	1/SN + 만/NR + 달러/NNB + ,/SP
무역외	무역/NNG + 외/NNG
용역·서비스	용역/NNG + ·/SP + 서비스/NNG
거래에	거래/NNG + 에/JKB
따른	따르/VV + ㄴ/ETM
일반	일반/NNG
송금은	송금/NNG + 은/JX
건당	건/NNB + 당/XSN
2만달러를	2/SN + 만/NR + 달러/NNB + 를/JKO
초과할	초과/NNG + 하/XSV + ㄹ/ETM
경우에만	경우/NNG + 에/JKB + 만/JX
국세청에	국세청/NNG + 에/JKB
통보하도록	통보/NNG + 하/XSV + 도록/EC
돼	되/VV + 어/EC
있다.	있/VX + 다/EF + ./SF

지난	지나/VV + ㄴ/ETM
98년	98/SN + 년/NNB
9월	9/SN + 월/NNB
개정된	개정/NNG + 되/XSV + ㄴ/ETM
외환거래법에	외환/NNG + 거래법/NNG + 에/JKB
따라	따르/VV + 아/EC
내년	내년/NNG
1월부터	1/SN + 월/NNB + 부터/JX
2단계	2/SN + 단계/NNG
외환거래자유화가	외환/NNG + 거래/NNG + 자유/NNG + 화/XSN + 가/JKS
실시되면	실시/NNG + 되/XSV + 면/EC
해외	해외/NNG
증여성	증여/NNG + 성/XSN
송금	송금/NNG
건당	건/NNB + 당/XSN
5000달러,	5000/SN + 달러/NNB + ,/SP
이사비용	이사/NNG + 비용/NNG
4인가족	4/SN + 이/VCP + ㄴ/ETM + 가족/NNG
기준	기준/NNG
100만달러,	100/SN + 만/NR + 달러/NNB + ,/SP
해외여행경비	해외여행/NNG + 경비/NNG
1만달러의	1/SN + 만/NR + 달러/NNB + 의/JKG
한도가	한도/NNG + 가/JKS
모두	모두/MAG
없어진다.	없/VA + 어/EC + 지/VX + ㄴ다/EF + ./SF

이에	이/NP + 에/JKB
따라	따르/VV + 아/EC
일반인들이	일반인/NNG + 들/XSN + 이/JKS
필요한	필요/NNG + 하/XSA + ㄴ/ETM
돈을	돈/NNG + 을/JKO
마음대로	마음대로/MAG
갖고	갖/VV + 고/EC
나가거나	나가/VX + 거나/EC
해외로	해외/NNG + 로/JKB
송금할	송금/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있게	있/VV + 게/EC
되지만	되/VV + 지만/EC
그만큼	그만큼/MAG
탈세를	탈세/NNG + 를/JKO
비롯한	비롯/XR + 하/XSV + ㄴ/ETM
불법적인	불법/NNG + 적/XSN + 이/VCP + ㄴ/ETM
자금	자금/NNG
유출입도	유출입/NNG + 도/JX
쉬워진다.	쉽/VA + 어/EC + 지/VX + ㄴ다/EF + ./SF

재경부	재경부/NNG
김용덕	김용덕/NNP
국제금융국장은	국제/NNG + 금융/NNG + 국장/NNG + 은/JX
"내년부터	"/SS + 내년/NNG + 부터/JX
각종	각종/NNG
송금	송금/NNG
한도가	한도/NNG + 가/JKS
없어지더라도	없/VA + 어/EC + 지/VX + 더라도/EC
지금과	지금/NNG + 과/JKB
비슷한	비슷/XR + 하/XSA + ㄴ/ETM
수준(금액기준)의	수준/NNG + (/SS + 금액/NNG + 기준/NNG + )/SS + 의/JKG
규제를	규제/NNG + 를/JKO
두어	두/VV + 어/EC
한국은행에	한국은행/NNP + 에/JKB
사전	사전/NNG
보고토록	보고/NNG + 하/XSV + 도록/EC
할	하/VX + ㄹ/ETM
방침"이라고	방침/NNG + "/SS + 이라고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그는	그/NP + 는/JX
또	또/MAG
"현재는	"/SS + 현재/NNG + 는/JX
30대계열	30/SN + 대/NNG + 계열/NNG
기업과	기업/NNG + 과/JC
상장·등록기업의	상장/NNG + ·/SP + 등록/NNG + 기업/NNG + 의/JKG
경우에만	경우/NNG + 에/JKB + 만/JX
건당	건/NNB + 당/XSN
5만달러	5/SN + 만/NR + 달러/NNB
이상의	이상/NNG + 의/JKG
해외자산에	해외/NNG + 자산/NNG + 에/JKB
대해서는	대하/VV + 아서/EC + 는/JX
한국은행에	한국은행/NNP + 에/JKB
반기별로	반기/NNG + 별/XSN + 로/JKB
보고토록	보고/NNG + 하/XSV + 도록/EC
되어	되/VV + 어/EC
있으나,	있/VX + 으나/EC + ,/SP
내년부터는	내년/NNG + 부터/JX + 는/JX
30대	30/SN + 대/NNG
미만	미만/NNG
기업과	기업/NNG + 과/JC
일반인들도	일반인/NNG + 들/XSN + 도/JX
보고의무를	보고/NNG + 의무/NNG + 를/JKO
갖게	갖/VV + 게/EC
된다"고	되/VV + ㄴ다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

재경부는	재경부/NNG + 는/JX
또	또/MAG
금융기관들의	금융/NNG + 기관/NNG + 들/XSN + 의/JKG
